ts,dpid,opcode,src_ip,dst_ip,src_mac,dst_mac,src_ip_oct,dst_ip_oct,src_mac_b,dst_mac_b,is_request,is_reply,is_gratuitous,dst_mac_zero,req_rate_1s,mac_change_count,label
1766131572.5674818,1,1,10.0.0.4,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,4,1,3,0,1,0,0,1,1,0,attack
1766131572.5691047,1,2,10.0.0.1,10.0.0.4,00:00:00:00:00:01,00:00:00:00:00:03,1,4,1,3,0,1,0,0,0,1,attack
1766131573.5676463,1,1,10.0.0.4,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,4,1,3,0,1,0,0,1,1,0,attack
1766131573.568546,1,2,10.0.0.1,10.0.0.4,00:00:00:00:00:01,00:00:00:00:00:03,1,4,1,3,0,1,0,0,0,1,attack
1766131574.5677395,1,1,10.0.0.4,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,4,1,3,0,1,0,0,1,1,0,attack
1766131574.5683703,1,2,10.0.0.1,10.0.0.4,00:00:00:00:00:01,00:00:00:00:00:03,1,4,1,3,0,1,0,0,0,1,attack
1766131575.568692,1,1,10.0.0.4,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,4,1,3,0,1,0,0,1,1,0,attack
1766131575.5693471,1,2,10.0.0.1,10.0.0.4,00:00:00:00:00:01,00:00:00:00:00:03,1,4,1,3,0,1,0,0,0,1,attack
1766131576.5703144,1,1,10.0.0.4,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,4,1,3,0,1,0,0,1,1,0,attack
1766131576.57185,1,2,10.0.0.1,10.0.0.4,00:00:00:00:00:01,00:00:00:00:00:03,1,4,1,3,0,1,0,0,0,1,attack
1766131577.571181,1,1,10.0.0.4,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,4,1,3,0,1,0,0,1,1,0,attack
1766131577.57216,1,2,10.0.0.1,10.0.0.4,00:00:00:00:00:01,00:00:00:00:00:03,1,4,1,3,0,1,0,0,0,1,attack
1766131578.5722737,1,1,10.0.0.4,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,4,1,3,0,1,0,0,1,1,0,attack
1766131578.5737479,1,2,10.0.0.1,10.0.0.4,00:00:00:00:00:01,00:00:00:00:00:03,1,4,1,3,0,1,0,0,0,1,attack
1766131579.5732636,1,1,10.0.0.4,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,4,1,3,0,1,0,0,1,1,0,attack
1766131579.5745609,1,2,10.0.0.1,10.0.0.4,00:00:00:00:00:01,00:00:00:00:00:03,1,4,1,3,0,1,0,0,0,1,attack
1766131580.5741878,1,1,10.0.0.4,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,4,1,3,0,1,0,0,1,1,0,attack
1766131580.575478,1,2,10.0.0.1,10.0.0.4,00:00:00:00:00:01,00:00:00:00:00:03,1,4,1,3,0,1,0,0,0,1,attack
1766131581.5748713,1,1,10.0.0.4,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,4,1,3,0,1,0,0,1,1,0,attack
1766131581.5759754,1,2,10.0.0.1,10.0.0.4,00:00:00:00:00:01,00:00:00:00:00:03,1,4,1,3,0,1,0,0,0,1,attack
1766131600.8536727,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,1,0,attack
1766131600.8565018,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131601.0536458,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,2,0,attack
1766131601.055622,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131601.2536905,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,3,0,attack
1766131601.2551382,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131601.453587,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,4,0,attack
1766131601.4544446,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131601.6538174,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,5,0,attack
1766131601.6548321,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131601.854254,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,1,0,attack
1766131601.8567889,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131602.055142,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,2,0,attack
1766131602.0566843,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131602.256127,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,3,0,attack
1766131602.257778,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131602.455916,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,4,0,attack
1766131602.4576125,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131602.6561959,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,5,0,attack
1766131602.6567569,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131602.8556743,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,1,0,attack
1766131602.856225,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131603.0566006,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,2,0,attack
1766131603.0582788,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131603.2565398,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,3,0,attack
1766131603.2573264,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131603.456826,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,4,0,attack
1766131603.4575639,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131603.6578035,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,5,0,attack
1766131603.6585236,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131603.8582864,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,1,0,attack
1766131603.8588448,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131604.0575678,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,2,0,attack
1766131604.0586283,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131604.2584188,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,3,0,attack
1766131604.259683,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131604.458259,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,4,0,attack
1766131604.4588597,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131604.6590838,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,5,0,attack
1766131604.6602545,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131604.8596272,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,1,0,attack
1766131604.8610215,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131605.0598943,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,2,0,attack
1766131605.0614188,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131605.2600653,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,3,0,attack
1766131605.261327,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131605.4599001,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,4,0,attack
1766131605.4609187,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131605.6607158,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,5,0,attack
1766131605.6625633,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131605.8609111,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,1,0,attack
1766131605.8622139,1,2,10.0.0.1,10.0.0.3,00:00:00:00:00:01,00:00:00:00:00:03,1,3,1,3,0,1,0,0,0,1,attack
1766131606.060752,1,1,10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,3,1,3,0,1,0,0,1,2,0,attack
